Date,Rainfall_mm,River_Level_m,Temperature_C,Humidity_pct
2008-01-01,3.01,1.095,23.24,70.8
2008-01-02,8.5,1.361,20.72,58.46
2008-01-03,0.37,2.054,20.95,68.13
2008-01-04,0.03,2.197,23.61,63.35
2008-01-05,2.76,2.169,22.51,58.6
2008-01-06,3.22,2.36,21.3,68.27
2008-01-07,1.68,2.7,23.5,68.62
2008-01-08,3.67,2.803,22.94,69.44
2008-01-09,1.91,2.789,24.89,68.86
2008-01-10,1.45,2.188,22.54,70.71
2008-01-11,0.55,2.296,23.97,66.62
2008-01-12,1.84,2.273,21.49,69.55
2008-01-13,5.83,2.36,24.42,71.2
2008-01-14,1.39,2.468,24.05,73.5
2008-01-15,0.56,2.482,24.8,69.9
2008-01-16,0.0,2.27,24.39,69.47
2008-01-17,5.48,2.234,23.26,70.27
2008-01-18,5.14,2.545,22.27,67.19
2008-01-19,5.29,2.814,22.92,73.41
2008-01-20,1.37,3.222,21.85,67.05
2008-01-21,0.72,2.537,22.77,72.92
2008-01-22,4.78,2.873,24.19,72.33
2008-01-23,0.64,3.092,23.8,67.74
2008-01-24,2.06,3.084,23.7,68.23
2008-01-25,4.0,2.711,23.21,70.47
2008-01-26,0.82,2.665,22.31,72.31
2008-01-27,1.8,2.412,24.35,78.1
2008-01-28,0.0,2.449,24.62,73.63
2008-01-29,4.44,2.395,23.33,75.91
2008-01-30,5.55,2.228,23.86,78.37
2008-01-31,0.24,2.601,26.01,78.1
2008-02-01,1.98,2.568,25.7,75.15
2008-02-02,1.0,2.463,23.13,73.35
2008-02-03,0.0,2.401,24.61,77.26
2008-02-04,7.56,2.405,26.22,73.99
2008-02-05,0.95,2.865,24.62,81.78
2008-02-06,7.46,2.582,24.64,79.22
2008-02-07,8.44,2.802,26.07,77.52
2008-02-08,4.52,3.513,26.03,78.71
2008-02-09,2.44,3.459,26.05,77.98
2008-02-10,0.0,3.598,24.92,76.6
2008-02-11,0.0,3.678,25.91,79.47
2008-02-12,2.36,3.421,26.8,77.5
2008-02-13,4.29,3.191,25.32,84.3
2008-02-14,0.88,2.806,25.03,76.66
2008-02-15,0.0,2.421,26.73,80.52
2008-02-16,0.14,2.095,27.6,76.88
2008-02-17,7.09,1.831,27.73,77.09
2008-02-18,5.32,2.259,25.3,74.35
2008-02-19,0.0,2.687,25.46,81.17
2008-02-20,3.16,2.541,24.76,78.57
2008-02-21,2.14,2.643,25.97,83.64
2008-02-22,3.25,2.629,24.83,81.85
2008-02-23,1.8,2.762,25.43,81.26
2008-02-24,0.0,2.889,26.71,76.8
2008-02-25,0.82,2.373,26.45,82.99
2008-02-26,5.74,2.094,24.3,79.44
2008-02-27,0.42,2.6,27.73,77.32
2008-02-28,2.07,2.301,25.12,83.1
2008-02-29,2.04,2.366,25.29,78.22
2008-03-01,25.88,2.187,25.05,75.9
2008-03-02,5.97,4.28,25.68,86.24
2008-03-03,20.48,4.89,25.48,80.84
2008-03-04,30.54,6.169,25.55,77.45
2008-03-05,4.09,8.24,24.0,79.95
2008-03-06,0.76,8.525,26.63,80.83
2008-03-07,4.3,8.395,26.77,86.57
2008-03-08,1.93,8.627,28.82,78.29
2008-03-09,10.25,6.693,27.09,79.4
2008-03-10,33.33,6.941,26.14,86.49
2008-03-11,17.59,8.148,25.47,82.33
2008-03-12,3.35,7.0,26.6,84.48
2008-03-13,14.84,6.882,27.18,82.44
2008-03-14,11.07,8.292,26.25,90.08
2008-03-15,14.5,8.577,26.84,80.26
2008-03-16,4.75,9.62,28.7,85.07
2008-03-17,33.17,9.172,26.44,88.82
2008-03-18,5.44,9.129,24.96,83.28
2008-03-19,30.38,8.214,27.74,82.22
2008-03-20,1.39,10.248,27.2,86.86
2008-03-21,1.45,9.316,25.2,87.64
2008-03-22,9.11,8.311,27.35,82.29
2008-03-23,11.77,7.925,25.94,89.13
2008-03-24,1.23,8.799,27.39,84.95
2008-03-25,2.05,5.936,28.87,86.37
2008-03-26,17.26,5.594,26.79,89.35
2008-03-27,21.6,4.618,28.06,87.22
2008-03-28,4.66,6.532,25.76,84.95
2008-03-29,59.02,6.435,25.47,82.95
2008-03-30,3.5,10.512,29.01,93.11
2008-03-31,44.78,9.8,27.31,82.63
2008-04-01,44.62,13.402,27.64,85.95
2008-04-02,14.12,16.792,28.15,86.53
2008-04-03,5.24,16.536,26.47,86.66
2008-04-04,23.95,15.461,27.82,91.36
2008-04-05,4.94,16.698,27.66,85.1
2008-04-06,17.42,12.482,25.69,84.65
2008-04-07,8.11,13.639,28.49,89.56
2008-04-08,39.9,10.574,28.27,84.46
2008-04-09,29.69,10.343,25.67,87.45
2008-04-10,3.37,11.5,27.14,85.36
2008-04-11,27.37,11.428,26.7,87.48
2008-04-12,4.35,11.653,28.33,86.83
